"","Unnamed..0","Name","Parliament","b1_nummer","achternaam","voorletters","voorna_a_m_en","roepnaam","prepositie","geslacht","partij_en_fractie_s","begin_periode","einde_periode"
"1062",23,"Bernardus Marie Bahlmann","1897-1901","00057","Bahlmann","B.M.","Bernardus Marie",NA,NA,"m","Rooms-Katholieken;Bahlmanniaan ('Centrum')",1880-12-13,1898-05-12
"1063",24,"Willem Henricus Jacobus Theodorus van Basten Batenburg","1897-1901","00065","Basten Batenburg","W.H.J.Th.","Willem Henricus Jacobus Theodorus",NA,"van","m","Bahlmanniaan ('Centrum') ;Rooms-Katholieken",1894-09-18,1901-09-16
"1064",25,"Isaäc Burchard Diederik van den Berch van Heemstede","1897-1901","00087","Berch van Heemstede","I.B.D.","Isaäc Burchard Diederik",NA,"van den","m","Bahlmanniaan ('Centrum') ;Rooms-Katholieken;Algemeene Bond (RKSP)",1891-09-15,1916-07-31
"1065",26,"Charles Casimir Marie Hubert de Bieberstein Rogalla Zawadsky","1897-1901","00114","Bieberstein Rogalla Zawadsky","Ch.C.M.H.","Charles Casimir Marie Hubert",NA,"baron de","m","Bahlmanniaan ('Centrum') ;Rooms-Katholieken",1897-02-16,1901-09-16
"1066",27,"Franciscus Theodorus Johannes Hubertus Dobbelmann","1897-1901","00318","Dobbelmann","F.Th.J.H.","Franciscus Theodorus Johannes Hubertus",NA,NA,"m","Bahlmanniaan ('Centrum') ;Rooms-Katholieken",1889-07-09,1901-09-16
"1067",28,"Willem Everts","1897-1901","00391","Everts","W.","Willem","Willem",NA,"m","Bahlmanniaan ('Centrum') ;Rooms-Katholieken",1893-11-14,1900-06-07
"1068",29,"Jan Harte van Tecklenburg","1897-1901","00522","Harte van Tecklenburg","J.J.I.","Joannes Josephus Ignatius","Jan",NA,"m","Bahlmanniaan ('Centrum') ;Rooms-Katholieken",1888-05-01,1901-07-31
"1069",30,"Maximilien Joseph Caspar Marie Kolkman","1897-1901","00727","Kolkman","M.J.C.M.","Maximilien Joseph Caspar Marie",NA,NA,"m","Schaepmaniaan;Rooms-Katholieken;Algemeene Bond (RKSP)",1884-05-06,1924-02-18
"1070",31,"Emile Alexis Marie van der Kun","1897-1901","00763","Kun","E.A.M.","Emile Alexis Marie",NA,"van der","m","Bahlmanniaan ('Centrum') ;Rooms-Katholieken",1892-12-13,1905-09-18
"1071",32,"Johannes Alouisius Loeff","1897-1901","00835","Loeff","J.A.","Johannes Alouisius","Jan",NA,"m","Bahlmanniaan ('Centrum') ;Rooms-Katholieken;Algemeene Bond (RKSP)",1896-05-05,1920-01-13
"1072",33,"Joseph Mathias Maria Hubertus Merckelbach","1897-1901","00904","Merckelbach","J.M.M.H.","Joseph Matthias Maria Hubertus",NA,NA,"m","Rooms-Katholieken",1897-09-21,1905-09-18
"1073",34,"Louis Michiels van Verduynen","1897-1901","00923","Michiels van Verduynen","L.P.M.H.","Louis Paul Marie Hubert",NA,"baron","m","Bahlmanniaan ('Centrum') ;Rooms-Katholieken;Algemeene Bond (RKSP)",1888-05-01,1905-09-30
"1074",35,"Willem Mutsaers","1897-1901","00951","Mutsaers","W.P.A.","Wilhelmus Petrus Adrianus","Willem",NA,"m","Bahlmanniaan ('Centrum') ;Rooms-Katholieken",1889-03-19,1905-09-18
"1075",36,"Wiel Nolens","1897-1901","00983","Nolting","P.","Pieter","Piet",NA,"m","Radicale Bond;VDB",1897-09-21,1909-09-20
"1076",37,"Lambert de Ram","1897-1901","01079","Ram","L.D.J.L.","Lambertus Dominicus Johannes Ludovicus","Lambert","de","m","Bahlmanniaan ('Centrum') ;Rooms-Katholieken;Algemeene Bond (RKSP)",1888-05-01,1913-09-15
"1077",38,"Martin de Ras","1897-1901","01085","Ras","M.","Martinus","Martin","de","m","Bahlmanniaan ('Centrum') ;Rooms-Katholieken",1892-07-20,1902-03-15
"1078",39,"Herman Schaepman","1897-1901","01180","Schaepman","H.J.A.M.","Hermanus Johannes Aloysius Maria","Herman",NA,"m","Schaepmaniaan;Rooms-Katholieken",1880-07-15,1903-01-20
"1079",40,"Josephus Theodorus Maria Smits van Oyen","1897-1901","01280","Smits van Oijen","J.Th.M.","Josephus Theodorus Maria",NA,NA,"m","Bahlmanniaan ('Centrum') ;Rooms-Katholieken",1891-09-16,1898-10-11
"1080",41,"Jacobus Antonius Nicolaas Travaglino","1897-1901","01374","Travaglino","J.A.N.","Jacobus Antonius Nicolaas",NA,NA,"m","Bahlmanniaan ('Centrum') ;Rooms-Katholieken",1888-05-01,1905-05-22
"1081",42,"Jan Truijen","1897-1901","00019","Alphen","J.","Jan","Jan","van","m","antirevolutionair;ARP",1884-12-08,1908-09-08
"1082",43,"Petrus Jacobus Franciscus Vermeulen","1897-1901","01422","Vermeulen","P.J.F.","Petrus Jacobus Franciscus",NA,NA,"m","Bahlmanniaan ('Centrum') ;Rooms-Katholieken",1880-06-29,1901-09-16
"1083",44,"Bernardus Reinierus Franciscus van Vlijmen","1897-1901","01458","Vlijmen","B.R.F.","Bernardus Reinierus Franciscus",NA,"van","m","Bahlmanniaan ('Centrum') ;Rooms-Katholieken;Algemeene Bond (RKSP)",1888-05-01,1918-09-16
"1084",45,"Jan van Alphen","1897-1901","00019","Alphen","J.","Jan","Jan","van","m","antirevolutionair;ARP",1884-12-08,1908-09-08
"1085",46,"Maurits van Asch van Wijck","1897-1901","00036","Asch van Wijck","H.M.J.","Hendrick Maurits Jan","Maurits","van","m","ARP",1897-09-21,1901-09-16
"1086",47,"Lodewijk Henrick Johan Mari van Asch van Wijck","1897-1901","00040","Asch van Wijck","L.H.J.M.","Lodewijk Henrick Johan Mari",NA,"van","m","ARP",1897-09-21,1903-01-31
"1087",48,"Allard van der Borch van Verwolde","1897-1901","00163","Borch van Verwolde","A.Ph.R.C.","Allard Philip Reinier Carel",NA,"baron van der","m","antirevolutionair;ARP",1884-07-29,1913-09-15
"1088",49,"Anthony Brummelkamp jr.","1897-1901","00228","Brummelkamp","A.","Anthony",NA,NA,"m","ARP",1897-09-21,1918-09-16
"1089",50,"Johannes Hendricus Donner","1897-1901","00334","Donner","J.H.","Johannes Hendricus",NA,NA,"m","antirevolutionair;ARP",1880-02-20,1901-09-16
"1090",51,"Schelto van Heemstra","1897-1901","00543","Heemstra","S.","Schelto",NA,"baron van","m","ARP",1897-09-21,1911-12-19
"1091",52,"Gerrit Blankers 't Hooft","1897-1901","00596","Hooft","G.B.","Gerrit Blankers",NA,"'t","m","ARP",1894-05-16,1901-09-16
"1092",53,"Antonius Everdinus van Kempen","1897-1901","00678","Kempen","A.E.","Antonius Everdinus",NA,"van","m","ARP",1897-09-21,1902-10-27
"1093",54,"Johannes Krap","1897-1901","00750","Krap","J.","Johannes",NA,NA,"m","ARP",1897-09-21,1905-09-18
"1094",55,"Abraham Kuyper","1897-1901","00766","Kuyper","A.","Abraham","Abraham",NA,"m","antirevolutionair;ARP",1874-03-20,1912-09-17
"1095",56,"Christiaan Lucasse","1897-1901","00849","Lucasse","Ch.","Christiaan",NA,NA,"m","antirevolutionair;ARP",1888-05-01,1909-09-20
"1096",57,"Hendrik Seret","1897-1901","01238","Seret","H.","Hendrik",NA,NA,"m","antirevolutionair;ARP",1880-10-04,1905-09-18
"1097",58,"Henri Adolphe van de Velde","1897-1901","01400","Velde","H.A.","Henri Adolphe",NA,"van de","m","antirevolutionair;ARP",1890-04-29,1918-09-16
"1098",59,"Jan Hendrik de Waal Malefijt","1897-1901","01498","Waal Malefijt","J.H.","Jan Hendrik","Jan Hendrik","de","m","ARP",1897-09-21,1909-08-15
"1099",60,"Abraham Bouman","1897-1901","00188","Bouman","A.","Abraham",NA,NA,"m","vooruitstrevende kamerclub;'club-Pyttersen';liberaal",1894-05-16,1901-09-16
"1100",61,"Jan Gerard van Deinse","1897-1901","00297","Deinse","J.G.","Jan Gerard",NA,"van","m","vooruitstrevende kamerclub;'club-Pyttersen';liberaal",1894-05-16,1901-09-16
"1101",62,"Petrus Boele Jacobus Ferf","1897-1901","00404","Ferf","P.B.J.","Petrus Boele Jacobus",NA,NA,"m","Liberale Unie;vooruitstrevende kamerclub;'club-Pyttersen';liberaal",1891-10-02,1912-03-18
"1102",63,"Hugo van Gijn","1897-1901","00500","Gijn","S.M.H.","Simon Marius Hugo","Hugo","van","m","liberaal;Liberale Unie",1889-04-10,1909-09-20
"1103",64,"Herman François Hesselink van Suchtelen","1897-1901","00568","Hesselink van Suchtelen","H.F.","Herman François",NA,NA,"m","vooruitstrevende kamerclub;'club-Pyttersen';liberaal",1894-05-16,1901-09-16
"1104",65,"Jacob Johan van Kerkwijk","1897-1901","00684","Kerkwijk","J.J.","Jacob Johan",NA,"van","m","Thorbeckiaan;liberaal",1863-03-04,1901-05-20
"1105",66,"Aris Kool","1897-1901","00731","Kool","A.","Aris",NA,NA,"m","liberaal",1897-11-09,1901-09-16
"1106",67,"Jan Meesters","1897-1901","00893","Meesters","J.","Jan",NA,NA,"m","vooruitstrevende kamerclub;'club-Pyttersen';liberaal",1894-05-16,1901-09-16
"1107",68,"Hendrik Pyttersen Tzn.","1897-1901","01069","Pyttersen","H.","Hendrik",NA,NA,"m","Liberale Unie;vooruitstrevende kamerclub;'club-Pyttersen';liberaal",1891-09-15,1901-09-16
"1108",69,"Adrien Jonathan Rethaan Macaré","1897-1901","01101","Rethaan Macaré","A.J.","Adrien Jonathan",NA,NA,"m","liberaal",1896-11-10,1900-03-31
"1109",70,"Joor Bastiaan Verheij","1897-1901","01411","Verheij","J.B.","Joor Bastiaan",NA,NA,"m","liberaal;Liberale Unie",1897-09-21,1913-05-03
"1110",71,"Jan Jacob Willinge","1897-1901","01551","Willinge","J.J.","Jan Jacob",NA,NA,"m","vooruitstrevende kamerclub;'club-Pyttersen';liberaal;Liberale Unie",1894-05-16,1904-09-05
"1111",72,"Geuchien Zijlma","1897-1901","01609","Zijlma","G.","Geuchien",NA,NA,"m","liberaal;vooruitstrevende kamerclub;'club-Pyttersen';Liberale Unie",1891-03-03,1909-09-20
"1112",73,"Carel Jan Emilius van Bylandt","1897-1901","00243","Bylandt","C.J.E.","Carel Jan Emilius",NA,"graaf van","m","oud- of vrije liberalen",1894-05-16,1901-09-16
"1113",74,"Jan Frederik Willem Conrad","1897-1901","00264","Conrad","J.F.W.","Jan Frederik Willem",NA,NA,"m","oud- of vrije liberalen",1891-09-15,1902-08-11
"1114",75,"Willem Jacob Geertsema","1897-1901","00438","Geertsema","W.J.","Willem Jacob",NA,NA,"m","oud- of vrije liberalen",1888-05-01,1901-09-16
"1115",76,"Johan George Gleichman","1897-1901","00462","Gleichman","J.G.","Johan George",NA,NA,"m","liberaal;oud- of vrije liberalen",1880-09-21,1901-06-08
"1116",77,"Gerardus Jacobus Goekoop","1897-1901","00468","Goekoop","G.J.","Gerardus Jacobus",NA,NA,"m","liberaal;oud- of vrije liberalen",1884-11-17,1904-12-20
"1117",78,"Herman Frederik Groen van Waarder","1897-1901","00486","Groen van Waarder","H.F.","Herman Frederik",NA,NA,"m","oud- of vrije liberalen",1897-09-21,1901-09-16
"1118",79,"Pieter Christiaan Jacobus Hennequin","1897-1901","00562","Hennequin","P.Ch.J.","Pieter Christiaan Jacobus",NA,NA,"m","Liberale Unie;oud- of vrije liberalen",1891-09-15,1909-09-20
"1119",80,"George Hermann Hintzen","1897-1901","00584","Hintzen","G.H.","George Hermann",NA,NA,"m","oud- of vrije liberalen",1888-05-07,1897-12-23
"1120",81,"Abraham van Karnebeek","1897-1901","00676","Karnebeek","A.P.C.","Abraham Pieter Cornelis",NA,"van","m","oud- of vrije liberalen;Vrij-Liberalen",1891-03-03,1913-09-15
"1121",82,"Meinard Tydeman","1897-1901","01384","Tydeman","M.","Meinard","Map",NA,"m","Liberale Unie;oud- of vrije liberalen;Vrij-Liberalen",1891-12-14,1916-11-03
"1122",83,"Frederik van Bylandt","1897-1901","00245","Bylandt","W.K.F.P.","Willem Karel Frederik Pieter","Frederik","graaf van","m","antirevolutionair;Vrij-AR;CHP;CHU",1882-11-08,1916-01-26
"1123",84,"Alexander van Dedem","1897-1901","00293","Dedem","A.","Alexander",NA,"baron van","m","antirevolutionair;Vrij-AR;CHP;CHU",1879-09-15,1913-09-15
"1124",85,"Otto Jan Herbert van Limburg Stirum","1897-1901","00826","Limburg Stirum","O.J.H.","Otto Jan Herbert",NA,"graaf van","m","Vrij-AR;CHP",1894-05-16,1907-08-26
"1125",86,"Alexander Frederik de Savornin Lohman","1897-1901","01177","Savornin Lohman","A.F.","Alexander Frederik",NA,"de","m","antirevolutionair;Vrij-AR;CHP;CHU",1879-09-15,1921-02-07
"1126",87,"Francis David Schimmelpenninck","1897-1901","01199","Schimmelpenninck","F.D.","Francis David",NA,"graaf","m","Vrij-AR",1894-05-16,1901-09-16
"1127",88,"Theodore Matthieu Ketelaar","1897-1901","00689","Ketelaar","Th.M.","Theodore Matthieu","Theo",NA,"m","Radicale Bond;VDB",1897-09-21,1936-06-26
"1128",89,"Piet Nolting","1897-1901","00983","Nolting","P.","Pieter","Piet",NA,"m","Radicale Bond;VDB",1897-09-21,1909-09-20
"1129",90,"Henri van Kol","1897-1901","00723","Kol","H.H.","Henri Hubert","Henri","van","m","SDAP",1897-09-24,1909-09-20
"1130",91,"Pieter Jelles Troelstra","1897-1901","01376","Troelstra","P.J.","Pieter Jelles","Pieter Jelles",NA,"m","SDAP",1897-09-24,1925-09-14
"1131",92,"Jacob Nicolaas Bastert","1897-1901","00066","Bastert","J.N.","Jacob Nicolaas",NA,NA,"m","conservatief-liberaal",1875-09-20,1901-09-16
"1132",93,"Menso Johannes Pijnappel","1897-1901","01068","Pijnappel","M.J.","Menso Johannes",NA,NA,"m","'pragmatisch' liberaal;conservatief-liberaal",1866-11-19,1901-09-16
"1133",94,"Boelo Tijdens","1897-1901","01385","Tijdens","B.L.","Boelo Luitjen",NA,NA,"m","radikaal-liberaal (Tijdens)",1891-09-15,1901-09-16
"1134",95,"Johannes Theodoor de Visser","1897-1901","01446","Visser","J.Th.","Johannes Theodoor",NA,"de","m","CH-Kiezersbond;CHP;CHU",1897-09-21,1929-09-16
"1135",96,"Andries Popke Staalman","1897-1901","01293","Staalman","A.P.","Andries Popke",NA,NA,"m","fractie-Staalman (onafh. a.r.);CDP",1894-11-27,1922-06-23
"1136",97,"Æneas Mackay jr.","1897-1901","00862","Mackay","Æ.","Æneas",NA,"baron","m","antirevolutionair;onafhankelijk a.r.",1876-05-02,1905-09-18
"1137",98,"Jan Stoffel","1897-1901","01305","Stoffel","J.","Jan","Jan",NA,"m","Volkspartij",1897-09-21,1898-01-14
"1138",99,"Geert van der Zwaag","1897-1901","01604","Zwaag","G.L.","Geert Lourens","Geert","van der","m","Vrije Socialist",1897-09-21,1909-09-20
"1139",100,"Henri Marchant","1897-1901","00875","Marchant","H.P.","Hendrik Pieter","Henri",NA,"m","vrijzinnig-democratische kamerclub;VDB",1900-06-08,1933-05-26
"1140",101,"Johannes Franciscus Jansen","1897-1901","00636","Jansen","J.F.","Johannes Franciscus",NA,NA,"m","Rooms-Katholieken",1898-06-14,1901-09-16
"1141",102,"Vincentius Adrianus Maria van den Heuvel","1897-1901","00574","Heuvel","V.A.M.","Vincentius Adrianus Maria","Vincent","van den","m","Rooms-Katholieken;Algemeene Bond (RKSP)",1898-11-22,1910-09-20
"1142",103,"Frans Jozef Bolsius","1897-1901","00153","Bolsius","F.J.","Frans Jozef","Frans",NA,"m","Rooms-Katholieken;Algemeene Bond (RKSP)",1900-09-18,1913-09-15
"1143",104,"Willem Caspar Joseph Passtoors","1897-1901","01020","Passtoors","W.C.J.","Willem Caspar Joseph",NA,NA,"m","Rooms-Katholieken;Algemeene Bond (RKSP)",1901-03-05,1913-09-15
"1144",105,"Albertus van Delden","1897-1901","00299","Delden","A.","Albertus",NA,"van","m","Thorbeckiaan;liberaal;Liberale Unie;oud- of vrije liberalen",1864-09-19,1898-11-07
"1145",106,"Rudolf Pieter Mees R.Azn.","1897-1901","00889","Mees","R.P.","Rudolf Pieter",NA,NA,"m","liberaal;oud- of vrije liberalen",1873-10-04,1905-09-18
"1146",107,"Willem Hendrik de Beaufort","1897-1901","00071","Beaufort","W.H.","Willem Hendrik",NA,"de","m","liberaal;oud- of vrije liberalen;Vrij-Liberalen",1877-04-23,1918-04-01
"1147",108,"Floris Willem van Styrum","1897-1901","01324","Styrum","F.W.","Floris Willem",NA,"van","m","oud- of vrije liberalen",1900-05-31,1909-09-20
"1148",109,"Jan Schaper","1897-1901","01191","Schepel","J.","Jan",NA,NA,"m","liberaal;Liberale Unie;vooruitstrevende kamerclub;'club-Pyttersen';vrijzinnig-democratische kamerclub",1874-04-29,1901-09-16
"1149",0,"Jean Arnoldts","1901-1905","00032","Arnoldts","M.J.G.J.","Marie Joseph Goswin Jean","Jean",NA,"m","Rooms-Katholieken",1901-09-17,1903-06-27
"1150",1,"Antoine Arts","1901-1905","01036","Plate","A.","Antoine",NA,NA,"m","liberaal;oud- of vrije liberalen",1893-02-28,1909-09-20
"1151",2,"Isaäc Burchard Diederik van den Berch van Heemstede","1901-1905","00087","Berch van Heemstede","I.B.D.","Isaäc Burchard Diederik",NA,"van den","m","Bahlmanniaan ('Centrum') ;Rooms-Katholieken;Algemeene Bond (RKSP)",1891-09-15,1916-07-31
"1152",3,"Frans Jozef Bolsius","1901-1905","00153","Bolsius","F.J.","Frans Jozef","Frans",NA,"m","Rooms-Katholieken;Algemeene Bond (RKSP)",1900-09-18,1913-09-15
"1153",4,"Wilhelmus Jacobus Mattheüs Christianus Friesen","1901-1905","00427","Friesen","W.J.M.Ch.","Wilhelmus Jacobus Mattheüs Christianus",NA,NA,"m","Rooms-Katholieken",1901-09-17,1905-09-18
"1154",5,"Petrus Franciscus Fruytier","1901-1905","00430","Fruytier","P.F.","Petrus Franciscus",NA,NA,"m","Rooms-Katholieken;Algemeene Bond (RKSP)",1901-09-17,1922-07-23
"1155",6,"Vincentius Adrianus Maria van den Heuvel","1901-1905","00574","Heuvel","V.A.M.","Vincentius Adrianus Maria","Vincent","van den","m","Rooms-Katholieken;Algemeene Bond (RKSP)",1898-11-22,1910-09-20
"1156",7,"Maximilien Joseph Caspar Marie Kolkman","1901-1905","00727","Kolkman","M.J.C.M.","Maximilien Joseph Caspar Marie",NA,NA,"m","Schaepmaniaan;Rooms-Katholieken;Algemeene Bond (RKSP)",1884-05-06,1924-02-18
"1157",8,"Emile Alexis Marie van der Kun","1901-1905","00763","Kun","E.A.M.","Emile Alexis Marie",NA,"van der","m","Bahlmanniaan ('Centrum') ;Rooms-Katholieken",1892-12-13,1905-09-18
"1158",9,"Joseph Mathias Maria Hubertus Merckelbach","1901-1905","00904","Merckelbach","J.M.M.H.","Joseph Matthias Maria Hubertus",NA,NA,"m","Rooms-Katholieken",1897-09-21,1905-09-18
"1159",10,"Louis Michiels van Verduynen","1901-1905","00923","Michiels van Verduynen","L.P.M.H.","Louis Paul Marie Hubert",NA,"baron","m","Bahlmanniaan ('Centrum') ;Rooms-Katholieken;Algemeene Bond (RKSP)",1888-05-01,1905-09-30
"1160",11,"Willem Mutsaers","1901-1905","00951","Mutsaers","W.P.A.","Wilhelmus Petrus Adrianus","Willem",NA,"m","Bahlmanniaan ('Centrum') ;Rooms-Katholieken",1889-03-19,1905-09-18
"1161",12,"Octaaf van Nispen","1901-1905","00766","Kuyper","A.","Abraham","Abraham",NA,"m","antirevolutionair;ARP",1874-03-20,1912-09-17
"1162",13,"Wiel Nolens","1901-1905","00983","Nolting","P.","Pieter","Piet",NA,"m","Radicale Bond;VDB",1897-09-21,1909-09-20
"1163",14,"Willem Caspar Joseph Passtoors","1901-1905","01020","Passtoors","W.C.J.","Willem Caspar Joseph",NA,NA,"m","Rooms-Katholieken;Algemeene Bond (RKSP)",1901-03-05,1913-09-15
"1164",15,"Lambert de Ram","1901-1905","01079","Ram","L.D.J.L.","Lambertus Dominicus Johannes Ludovicus","Lambert","de","m","Bahlmanniaan ('Centrum') ;Rooms-Katholieken;Algemeene Bond (RKSP)",1888-05-01,1913-09-15
"1165",16,"Martin de Ras","1901-1905","01085","Ras","M.","Martinus","Martin","de","m","Bahlmanniaan ('Centrum') ;Rooms-Katholieken",1892-07-20,1902-03-15
"1166",17,"Karel Raymakers","1901-1905","01087","Raymakers","C.A.M.","Carolus Antonius Maria","Karel",NA,"m","Rooms-Katholieken",1901-09-17,1905-09-18
"1167",18,"Alexander van Sasse van Ysselt","1901-1905","01172","Sasse van Ysselt","A.F.O.","Alexander Frederik Oscar",NA,"van","m","Rooms-Katholieken;Algemeene Bond (RKSP)",1901-09-17,1929-09-16
"1168",19,"Herman Schaepman","1901-1905","01180","Schaepman","H.J.A.M.","Hermanus Johannes Aloysius Maria","Herman",NA,"m","Schaepmaniaan;Rooms-Katholieken",1880-07-15,1903-01-20
"1169",20,"Victor de Stuers","1901-1905","01320","Stuers","V.E.L.","Victor Eugène Louis","Victor","de","m","Rooms-Katholieken;Algemeene Bond (RKSP)",1901-12-09,1916-03-20
"1170",21,"Jacobus Antonius Nicolaas Travaglino","1901-1905","01374","Travaglino","J.A.N.","Jacobus Antonius Nicolaas",NA,NA,"m","Bahlmanniaan ('Centrum') ;Rooms-Katholieken",1888-05-01,1905-05-22
"1171",22,"Bernardus Reinierus Franciscus van Vlijmen","1901-1905","01458","Vlijmen","B.R.F.","Bernardus Reinierus Franciscus",NA,"van","m","Bahlmanniaan ('Centrum') ;Rooms-Katholieken;Algemeene Bond (RKSP)",1888-05-01,1918-09-16
"1172",23,"Franciscus Hubertus van Wichen","1901-1905","01538","Wichen","F.H.","Franciscus Hubertus",NA,"van","m","Rooms-Katholieken;Algemeene Bond (RKSP)",1901-09-17,1916-11-03
"1173",24,"Stephanus Martinus van Wijck","1901-1905","01573","Wijck","S.M.","Stephanus Martinus",NA,"van","m","Rooms-Katholieken",1901-09-17,1904-02-05
"1174",25,"Jan van Alphen","1901-1905","00019","Alphen","J.","Jan","Jan","van","m","antirevolutionair;ARP",1884-12-08,1908-09-08
"1175",26,"Hubert van Asch van Wijck","1901-1905","00039","Asch van Wijck","H.W.","Hubert Willem","Hubert","van","m","ARP",1901-09-17,1913-09-15
"1176",27,"Lodewijk Henrick Johan Mari van Asch van Wijck","1901-1905","00040","Asch van Wijck","L.H.J.M.","Lodewijk Henrick Johan Mari",NA,"van","m","ARP",1897-09-21,1903-01-31
"1177",28,"Allard van der Borch van Verwolde","1901-1905","00163","Borch van Verwolde","A.Ph.R.C.","Allard Philip Reinier Carel",NA,"baron van der","m","antirevolutionair;ARP",1884-07-29,1913-09-15
"1178",29,"Anthony Brummelkamp jr.","1901-1905","00228","Brummelkamp","A.","Anthony",NA,NA,"m","ARP",1897-09-21,1918-09-16
"1179",30,"Lodewijk Duymaer van Twist","1901-1905","00354","Duymaer van Twist","L.F.","Lodewijk Franciscus",NA,NA,"m","ARP",1901-09-17,1946-06-03
"1180",31,"Theo Heemskerk","1901-1905","00540","Heemskerk","Th.","Theodorus","Theo",NA,"m","antirevolutionair;ARP",1888-05-01,1932-06-11
"1181",32,"Schelto van Heemstra","1901-1905","00543","Heemstra","S.","Schelto",NA,"baron van","m","ARP",1897-09-21,1911-12-19
"1182",33,"Alexander Willem Frederik Idenburg","1901-1905","00623","Idenburg","A.W.F.","Alexander Willem Frederik",NA,NA,"m","ARP",1901-09-17,1902-09-25
"1183",34,"Antonius Everdinus van Kempen","1901-1905","00678","Kempen","A.E.","Antonius Everdinus",NA,"van","m","ARP",1897-09-21,1902-10-27
"1184",35,"Johannes Krap","1901-1905","00750","Krap","J.","Johannes",NA,NA,"m","ARP",1897-09-21,1905-09-18
"1185",36,"Alexander Dirk Peter Valentijn van Löben Sels","1901-1905","00832","Löben Sels","A.D.P.V.","Alexander Dirk Peter Valentijn",NA,"van","m","ARP",1901-09-17,1905-09-18
